scientific_name,fg,resolver
Eurypanopeus depressus,Mobile,Eurypanopeus depressus
Exaiptasia pallida,Anemone,Exaiptasia pallida
Exocorallana cf tricornis,Mobile,Exocorallana
Exogone dispar,Mobile,Exogone dispar
Filograna sp,Serpulidae,Filograna
Fish eggs,Fish eggs,
Gammarus sp,Mobile,Gammarus
Gastropod eggs,Mobile,Gastropod eggs
Gastropoda,Mobile,Gastropoda
Geodia sp,Sponge,Geodia
Grandidierella bonnieroides,Mobile,Grandidierella bonnieroides
Halichondria cf magniconulosa,Sponge,Halichondria
Haliclona implexiformis,Sponge,Haliclona implexiformis
Haliclona tubulifera,Sponge,Haliclona tubulifera
Haminoea antillarum,Mobile,Haminoea antillarum
Harmothoe sp,Mobile,Harmothoe
Herdmania momus,Solitary ascidian,Herdmania momus
Hexapanopeus angustifrons,Mobile,Hexapanopeus angustifrons
Hippolyte pleuracanthus,Mobile,Hippolyte pleuracanthus
Hippopodina feegeensis,Encrusting bryozoan,Hippopodina feegeensis
Hippopodina indica,Encrusting bryozoan,Hippopodina indica
Hippoporina indica,Encrusting bryozoan,Hippoporina indica
Holothuroidea,Mobile,Holothuroidea
Hourstonius laguna,Mobile,Hourstonius laguna
Hydroides dianthus,Serpulidae,Hydroides dianthus
Hydroides diramphus,Serpulidae,Hydroides diramphus
Hydroides elegans,Serpulidae,Hydroides elegans
Hydroides sanctaecrucis,Serpulidae,Hydroides sanctaecrucis
Hydroides sp,Serpulidae,Hydroides
Hydrozoa,Hydroid,Hydrozoa
Isognomon alatus,Oyster,Isognomon alatus
Jassa cf slatteryi,Mobile,Jassa
Laticorophium baconi,Amphipod tubes,Laticorophium baconi
Lembos unifasciatus,Mobile,Lembos unifasciatus
Leptochelia rapax complex,Mobile,Leptochelia
Leucothoe ashleyae,Mobile,Leucothoe ashleyae
Libinia dubia,Mobile,Libinia dubia
Licornia regularis,Arborescent bryozoan,Licornia regularis
Lissoclinum sp,Colonial ascidian,Lissoclinum
Lumbrineris sp,Mobile,Lumbrineris
Lysianopsis alba,Mobile,Lysianopsis alba
Maera miranda,Mobile,Maera miranda
Majiidae,Mobile,Majiidae
Marphysa sanguinea,Mobile,Marphysa sanguinea
Marshallora modesta,Mobile,Marshallora modesta
Marshallora nigrocincta,Mobile,Marshallora nigrocincta
Megabalanus coccopoma,Barnacles,Megabalanus coccopoma
Megabalanus tintinnabulum,Barnacles,Megabalanus tintinnabulum
Meioceras nitidum,Mobile,Meioceras nitidum
Menippe mercinaria,Mobile,Menippe mercinaria
Microcosmus exasperatus,Solitary ascidian,Microcosmus exasperatus
Miodiolus modiolus,Mussel,Miodiolus modiolus
Mithrax sp,Mobile,Mithrax
Molgula manhattensis,Solitary ascidian,Molgula manhattensis
Molgula occidentalis,Solitary ascidian,Molgula occidentalis
Monocorophium acherusicum,Amphipod tubes,Monocorophium acherusicum
Musculus lateralis,Mussel,Musculus lateralis
Mycale microsigmatosa,Sponge,Mycale microsigmatosa
Mytilopsis leucophaeata,Mussel,Mytilopsis leucophaeata
n/a,Other,
n/a,n/a,
n/a,Turf algae,
Nassarius acutus,Mobile,Nassarius acutus
Neanthes succinea,Mobile,Neanthes succinea
Nemertea,Mobile,Nemertea
Neoleprea sp A GofMex,Mobile,Neoleprea
Nereididae,Mobile,Nereididae
Neries sp,Mobile,Neries
Neritina virginea,Mobile,Neritina virginea
Noella stipata,Encrusting bryozoan,Noella stipata
Obelia sp,Hydroid,Obelia
Odostomia laevigata,Mobile,Odostomia laevigata
Ophiuroidea,Mobile,Ophiuroidea
Paguroidea,Mobile,Paguroidea
Palaemonetes sp,Mobile,Palaemonetes
Panopeus herbstii,Mobile,Panopeus herbstii
Panopeus obesus,Mobile,Panopeus obesus
Panopeus occidentalis,Mobile,Panopeus occidentalis
Panopeus sp,Mobile,Panopeus
Paracaprella tenius,Mobile,Paracaprella tenius
Paracerceis caudata,Mobile,Paracerceis caudata
Paradella dianae,Mobile,Paradella dianae
Paraonidae,Mobile,Paraonidae
Parasabella aberrans,Sabellid,Parasabella aberrans
Parasabella crassichaetae,Sabellid,Parasabella crassichaetae
Parasabella microphthalma,Sabellid,Parasabella microphthalma
Parasabella sp,Sabellid,Parasabella
Parasmittina nitida,Encrusting bryozoan,Parasmittina nitida
Parvanachis obesa,Mobile,Parvanachis obesa
Pedicellaria sp,Mobile,Pedicellaria
Periclimeneus s,Mobile,Periclimeneus
Periclimeneus sp,Mobile,Periclimeneus
Perophora viridis,Colonial ascidian,Perophora viridis
Petaloconchus varians,Vermetid,Petaloconchus varians
Petrolisthes armatus,Mobile,Petrolisthes armatus
Phallusia nigra,Solitary ascidian,Phallusia nigra
Photis longicaudata,Mobile,Photis longicaudata
Photis sarae,Mobile,Photis sarae
Photis sp,Mobile,Photis
Phragmatopoma caudata,Other polychaetes,Phragmatopoma caudata
Phyllodocidae,Mobile,Phyllodocidae
Pilumnus sayi,Mobile,Pilumnus sayi
Pinctada imbricata,Other bivalves,Pinctada imbricata
Pinctada longisquamosa,Other bivalves,Pinctada longisquamosa
Pinnixa floridana,Mobile,Pinnixa floridana
Podarke sp,Mobile,Podarke
Podocerus brasiliensis,Amphipod tubes,Podocerus brasiliensis
Polyandrocarpa zorritensis,Colonial ascidian,Polyandrocarpa zorritensis
Polyclinum constellatum,Colonial ascidian,Polyclinum constellatum
Polydora cornuta,Other polychaetes,Polydora cornuta
Porifera,Sponge,Porifera
Prunum apicinum,Mobile,Prunum apicinum
Pycnogonida,Mobile,Pycnogonida
Quadrimaera miranda,Mobile,Quadrimaera miranda
Rhithropanopeus harrisii,Mobile,Rhithropanopeus harrisii
Sabellidae,Sabellid,Sabellidae
Salmacina huxleyi,Ser,Salmacina huxleyi
Savignyella lafontii,Arborescent bryozoan,Savignyella lafontii
Schizoporella floridana,Encrusting bryozoan,Schizoporella floridana
Schizoporella pungens,Encrusting bryozoan,Schizoporella pungens
Serpulidae,Serpulidae,Serpulidae
Sertularia sp,Hydroid,Sertularia
Sigapatella novaezelandiae,Crepidula,Sigapatella novaezelandiae
Sinum perspectivum,Mobile,Sinum perspectivum
Sphaeroma walkeri,Mobile,Sphaeroma walkeri
Sphenia fragilis,Other bivalves,Sphenia fragilis
Spirorbidae,Serpulidae,Spirorbidae
Stenothoe valida,Mobile,Stenothoe valida
Streblosoma verrilli,Terebellid,Streblosoma verrilli
Styela canopus,Solitary ascidian,Styela canopus
Styela plicata,Solitary ascidian,Styela plicata
Stylochus sp,Mobile,Stylochus
Sycon ciliatum,Sponge,Sycon ciliatum
Syllidae,Mobile,Syllidae
Symplegma brakenhielmi,Colonial ascidian,Symplegma brakenhielmi
Symplegma rubra,Colonial ascidian,Symplegma rubra
Synalpheus brevecarpus,Mobile,Synalpheus brevecarpus
Synalpheus sp,Mobile,Synalpheus
Tanaidacea,Mobile,Tanaidacea
Tedania ignis,Sponge,Tedania ignis
Terebellidae,Terebellid,Terebellidae
Tridentata sp,Arborescent bryozoan,Tridentata
Trypanosyllus sp,Mobile,Trypanosyllus
Victorella pavida,Arborescent bryozoan,Victorella pavida
Watersipora subtorquata,Encrusting bryozoan,Watersipora subtorquata
