from,to,node_name,rank,definition,tree_name
APHIA:111066,FUNCTIONAL:ENCRUSTING_BRYOZOAN,Aetea sica,NA,NA,fouling
UNDEFINED:BOWERBANKIA_GRACILIS,FUNCTIONAL:ENCRUSTING_BRYOZOAN,Bowerbankia gracilis,NA,NA,fouling
APHIA:146142,FUNCTIONAL:ENCRUSTING_BRYOZOAN,Bryozoa,NA,NA,fouling
APHIA:394868,FUNCTIONAL:ENCRUSTING_BRYOZOAN,Celleporaria brunnea,NA,NA,fouling
APHIA:422328,FUNCTIONAL:ENCRUSTING_BRYOZOAN,Celleporaria sherryae,NA,NA,fouling
APHIA:205020,FUNCTIONAL:ENCRUSTING_BRYOZOAN,Celleporaria sp,NA,NA,fouling
APHIA:607852,FUNCTIONAL:ENCRUSTING_BRYOZOAN,Conopeum chesapeakensis,NA,NA,fouling
APHIA:159808,FUNCTIONAL:ENCRUSTING_BRYOZOAN,Conopeum tenuissimum,NA,NA,fouling
APHIA:111389,FUNCTIONAL:ENCRUSTING_BRYOZOAN,Hippopodina feegeensis,NA,NA,fouling
UNDEFINED:HIPPOPODINA_INDICA,FUNCTIONAL:ENCRUSTING_BRYOZOAN,Hippopodina indica,NA,NA,fouling
APHIA:469112,FUNCTIONAL:ENCRUSTING_BRYOZOAN,Hippoporina indica,NA,NA,fouling
UNDEFINED:NOELLA_STIPATA,FUNCTIONAL:ENCRUSTING_BRYOZOAN,Noella stipata,NA,NA,fouling
APHIA:422348,FUNCTIONAL:ENCRUSTING_BRYOZOAN,Parasmittina nitida,NA,NA,fouling
APHIA:422362,FUNCTIONAL:ENCRUSTING_BRYOZOAN,Schizoporella floridana,NA,NA,fouling
APHIA:422363,FUNCTIONAL:ENCRUSTING_BRYOZOAN,Schizoporella pungens,NA,NA,fouling
APHIA:111592,FUNCTIONAL:ENCRUSTING_BRYOZOAN,Watersipora subtorquata,NA,NA,fouling
APHIA:422418,FUNCTIONAL:ARBORESCENT_BRYOZOAN,Amathia alternata,NA,NA,fouling
APHIA:111656,FUNCTIONAL:ARBORESCENT_BRYOZOAN,Amathia distans,NA,NA,fouling
APHIA:851589,FUNCTIONAL:ARBORESCENT_BRYOZOAN,Amathia gracilis,NA,NA,fouling
APHIA:851581,FUNCTIONAL:ARBORESCENT_BRYOZOAN,Amathia verticillata,NA,NA,fouling
UNDEFINED:AMATHIA_VIDOCICI,FUNCTIONAL:ARBORESCENT_BRYOZOAN,Amathia vidocici,NA,NA,fouling
APHIA:111631,FUNCTIONAL:ARBORESCENT_BRYOZOAN,Anguinella palmata,NA,NA,fouling
APHIA:111158,FUNCTIONAL:ARBORESCENT_BRYOZOAN,Bugula neritina,NA,NA,fouling
UNDEFINED:BUGULA_STOLONIFERA,FUNCTIONAL:ARBORESCENT_BRYOZOAN,Bugula stolonifera,NA,NA,fouling
APHIA:422314,FUNCTIONAL:ARBORESCENT_BRYOZOAN,Catenicella uberrima,NA,NA,fouling
APHIA:448282,FUNCTIONAL:ARBORESCENT_BRYOZOAN,Caulibugula armata,NA,NA,fouling
APHIA:738972,FUNCTIONAL:ARBORESCENT_BRYOZOAN,Cradoscrupocellaria atlantica,NA,NA,fouling
APHIA:738973,FUNCTIONAL:ARBORESCENT_BRYOZOAN,Cradoscrupocellaria bertholletii,NA,NA,fouling
APHIA:111696,FUNCTIONAL:ARBORESCENT_BRYOZOAN,Crisia eburnea,NA,NA,fouling
APHIA:760385,FUNCTIONAL:ARBORESCENT_BRYOZOAN,Licornia regularis,NA,NA,fouling
APHIA:111512,FUNCTIONAL:ARBORESCENT_BRYOZOAN,Savignyella lafontii,NA,NA,fouling
APHIA:152168,FUNCTIONAL:ARBORESCENT_BRYOZOAN,Tridentata sp,NA,NA,fouling
APHIA:111673,FUNCTIONAL:ARBORESCENT_BRYOZOAN,Victorella pavida,NA,NA,fouling
UNDEFINED:AMYGDALUM_PAPYRIUM,FUNCTIONAL:MUSSEL,Amygdalum papyrium,NA,NA,fouling
APHIA:505948,FUNCTIONAL:MUSSEL,Arcuatula papyria,NA,NA,fouling
APHIA:397026,FUNCTIONAL:MUSSEL,Brachidontes exustus,NA,NA,fouling
UNDEFINED:MIODIOLUS_MODIOLUS,FUNCTIONAL:MUSSEL,Miodiolus modiolus,NA,NA,fouling
APHIA:420707,FUNCTIONAL:MUSSEL,Musculus lateralis,NA,NA,fouling
APHIA:156887,FUNCTIONAL:MUSSEL,Mytilopsis leucophaeata,NA,NA,fouling
APHIA:156734,FUNCTIONAL:OTHER_BIVALVES,Anadara transversa,NA,NA,fouling
APHIA:156737,FUNCTIONAL:OTHER_BIVALVES,Anomia simplex,NA,NA,fouling
APHIA:207901,FUNCTIONAL:OTHER_BIVALVES,Pinctada imbricata,NA,NA,fouling
APHIA:420734,FUNCTIONAL:OTHER_BIVALVES,Pinctada longisquamosa,NA,NA,fouling
APHIA:420973,FUNCTIONAL:OTHER_BIVALVES,Sphenia fragilis,NA,NA,fouling
APHIA:249816,FUNCTIONAL:COLONIAL_ASCIDIAN,Aplidium antillense,NA,NA,fouling
APHIA:103471,FUNCTIONAL:COLONIAL_ASCIDIAN,Aplidium sp,NA,NA,fouling
UNDEFINED:BOTRYLLOIDES_NIGRUM,FUNCTIONAL:COLONIAL_ASCIDIAN,Botrylloides nigrum,NA,NA,fouling
APHIA:215992,FUNCTIONAL:COLONIAL_ASCIDIAN,Botryllus planus,NA,NA,fouling
APHIA:103862,FUNCTIONAL:COLONIAL_ASCIDIAN,Botryllus schlosseri,NA,NA,fouling
APHIA:103529,FUNCTIONAL:COLONIAL_ASCIDIAN,Botryllus sp nov,NA,NA,fouling
APHIA:103554,FUNCTIONAL:COLONIAL_ASCIDIAN,Clavelina oblonga,NA,NA,fouling
APHIA:250323,FUNCTIONAL:COLONIAL_ASCIDIAN,Clavelina picta,NA,NA,fouling
APHIA:103439,FUNCTIONAL:COLONIAL_ASCIDIAN,Didemnidae,NA,NA,fouling
APHIA:212506,FUNCTIONAL:COLONIAL_ASCIDIAN,Didemnum perlucidum,NA,NA,fouling
APHIA:252853,FUNCTIONAL:COLONIAL_ASCIDIAN,Didemnum psammatodes,NA,NA,fouling
