from,to,scientific_id,type,code,rank,definition,tree_name
Turbininae,Turbinidae,urn:lsid:marinespecies.org:taxname:225151,NA,NA,Subfamily,NA,oyster_density
Prisogasterinae,Turbinidae,urn:lsid:marinespecies.org:taxname:382193,NA,NA,Subfamily,NA,oyster_density
Eulithidium,Phasianellidae,urn:lsid:marinespecies.org:taxname:415368,NA,NA,Genus,NA,oyster_density
Calliostomatinae,Calliostomatidae,urn:lsid:marinespecies.org:taxname:411630,NA,NA,Subfamily,NA,oyster_density
Arene,Areneidae,urn:lsid:marinespecies.org:taxname:413481,NA,NA,Genus,NA,oyster_density
Skenea,Skeneidae,urn:lsid:marinespecies.org:taxname:138508,NA,NA,Genus,NA,oyster_density
Cittarium,Tegulidae,urn:lsid:marinespecies.org:taxname:413476,NA,NA,Genus,NA,oyster_density
Agathistoma,Tegulidae,urn:lsid:marinespecies.org:taxname:607159,NA,NA,Genus,NA,oyster_density
Rapaninae,Muricidae,urn:lsid:marinespecies.org:taxname:196295,NA,NA,Subfamily,NA,oyster_density
Muricinae,Muricidae,urn:lsid:marinespecies.org:taxname:225315,NA,NA,Subfamily,NA,oyster_density
Ocenebrinae,Muricidae,urn:lsid:marinespecies.org:taxname:225324,NA,NA,Subfamily,NA,oyster_density
Ergalataxinae,Muricidae,urn:lsid:marinespecies.org:taxname:397227,NA,NA,Subfamily,NA,oyster_density
Coralliophilinae,Muricidae,urn:lsid:marinespecies.org:taxname:411789,NA,NA,Subfamily,NA,oyster_density
Aspellinae,Muricidae,urn:lsid:marinespecies.org:taxname:550088,NA,NA,Subfamily,NA,oyster_density
Conus,Conidae,urn:lsid:marinespecies.org:taxname:137813,NA,NA,Genus,NA,oyster_density
Pyrgocythara,Mangeliidae,urn:lsid:marinespecies.org:taxname:160475,NA,NA,Genus,NA,oyster_density
Pyrgospira,Pseudomelatomidae,urn:lsid:marinespecies.org:taxname:415911,NA,NA,Genus,NA,oyster_density
Buccininae,Buccinidae,urn:lsid:marinespecies.org:taxname:225649,NA,NA,Subfamily,NA,oyster_density
Nassariinae,Nassariidae,urn:lsid:marinespecies.org:taxname:225335,NA,NA,Subfamily,NA,oyster_density
Photinae,Nassariidae,urn:lsid:marinespecies.org:taxname:225646,NA,NA,Subfamily,NA,oyster_density
Anachis,Columbellidae,urn:lsid:marinespecies.org:taxname:137802,NA,NA,Genus,NA,oyster_density
Columbella,Columbellidae,urn:lsid:marinespecies.org:taxname:137803,NA,NA,Genus,NA,oyster_density
Mitrella,Columbellidae,urn:lsid:marinespecies.org:taxname:137804,NA,NA,Genus,NA,oyster_density
Astyris,Columbellidae,urn:lsid:marinespecies.org:taxname:160101,NA,NA,Genus,NA,oyster_density
Costoanachis,Columbellidae,urn:lsid:marinespecies.org:taxname:160220,NA,NA,Genus,NA,oyster_density
Parvanachis,Columbellidae,urn:lsid:marinespecies.org:taxname:160438,NA,NA,Genus,NA,oyster_density
Alia,Columbellidae,urn:lsid:marinespecies.org:taxname:512256,NA,NA,Genus,NA,oyster_density
Peristerniinae,Fasciolariidae,urn:lsid:marinespecies.org:taxname:391524,NA,NA,Subfamily,NA,oyster_density
Fasciolariinae,Fasciolariidae,urn:lsid:marinespecies.org:taxname:411757,NA,NA,Subfamily,NA,oyster_density
Engina,Pisaniidae,urn:lsid:marinespecies.org:taxname:137705,NA,NA,Genus,NA,oyster_density
Pisania,Pisaniidae,urn:lsid:marinespecies.org:taxname:137711,NA,NA,Genus,NA,oyster_density
Gemophos,Pisaniidae,urn:lsid:marinespecies.org:taxname:415414,NA,NA,Genus,NA,oyster_density
Hesperisternia,Pisaniidae,urn:lsid:marinespecies.org:taxname:415466,NA,NA,Genus,NA,oyster_density
Olivinae,Olividae,urn:lsid:marinespecies.org:taxname:411806,NA,NA,Subfamily,NA,oyster_density
Vasum,Vasidae,urn:lsid:marinespecies.org:taxname:205505,NA,NA,Genus,NA,oyster_density
Volutella,Vasidae,urn:lsid:marinespecies.org:taxname:597021,NA,NA,Genus,NA,oyster_density
Pruninae,Marginellidae,urn:lsid:marinespecies.org:taxname:411797,NA,NA,Subfamily,NA,oyster_density
Volutinae,Volutidae,urn:lsid:marinespecies.org:taxname:382262,NA,NA,Subfamily,NA,oyster_density
Granulina,Granulinidae,urn:lsid:marinespecies.org:taxname:138165,NA,NA,Genus,NA,oyster_density
Turritellinae,Turritellidae,urn:lsid:marinespecies.org:taxname:411659,NA,NA,Subfamily,NA,oyster_density
Cerithiinae,Cerithiidae,urn:lsid:marinespecies.org:taxname:225178,NA,NA,Subfamily,NA,oyster_density
Bittiinae,Cerithiidae,urn:lsid:marinespecies.org:taxname:411649,NA,NA,Subfamily,NA,oyster_density
Alaba,Litiopidae,urn:lsid:marinespecies.org:taxname:138133,NA,NA,Genus,NA,oyster_density
Diffalaba,Litiopidae,urn:lsid:marinespecies.org:taxname:575794,NA,NA,Genus,NA,oyster_density
Planaxinae,Planaxidae,urn:lsid:marinespecies.org:taxname:411652,NA,NA,Subfamily,NA,oyster_density
Finella,Scaliolidae,urn:lsid:marinespecies.org:taxname:138264,NA,NA,Genus,NA,oyster_density
Modulus,Modulidae,urn:lsid:marinespecies.org:taxname:196286,NA,NA,Genus,NA,oyster_density
Batillaria,Batillariidae,urn:lsid:marinespecies.org:taxname:370445,NA,NA,Genus,NA,oyster_density
Lampanella,Batillariidae,urn:lsid:marinespecies.org:taxname:446429,NA,NA,Genus,NA,oyster_density
Triphorinae,Triphoridae,urn:lsid:marinespecies.org:taxname:411727,NA,NA,Subfamily,NA,oyster_density
Epitonium,Epitoniidae,urn:lsid:marinespecies.org:taxname:137943,NA,NA,Genus,NA,oyster_density
Lacuninae,Littorinidae,urn:lsid:marinespecies.org:taxname:1735,NA,NA,Subfamily,NA,oyster_density
Littorininae,Littorinidae,urn:lsid:marinespecies.org:taxname:153707,NA,NA,Subfamily,NA,oyster_density
Skeneopsis,Skeneopsidae,urn:lsid:marinespecies.org:taxname:138511,NA,NA,Genus,NA,oyster_density
Alvania,Rissoidae,urn:lsid:marinespecies.org:taxname:138439,NA,NA,Genus,NA,oyster_density
Pusillina,Rissoidae,urn:lsid:marinespecies.org:taxname:138455,NA,NA,Genus,NA,oyster_density
Rissoa,Rissoidae,urn:lsid:marinespecies.org:taxname:138456,NA,NA,Genus,NA,oyster_density
Rissoina,Rissoinidae,urn:lsid:marinespecies.org:taxname:138457,NA,NA,Genus,NA,oyster_density
Zebina,Zebinidae,urn:lsid:marinespecies.org:taxname:138460,NA,NA,Genus,NA,oyster_density
Strombus,Strombidae,urn:lsid:marinespecies.org:taxname:138526,NA,NA,Genus,NA,oyster_density
Aliger,Strombidae,urn:lsid:marinespecies.org:taxname:415025,NA,NA,Genus,NA,oyster_density
Conomurex,Strombidae,urn:lsid:marinespecies.org:taxname:531648,NA,NA,Genus,NA,oyster_density
Lobatus,Strombidae,urn:lsid:marinespecies.org:taxname:531665,NA,NA,Genus,NA,oyster_density
Macrostrombus,Strombidae,urn:lsid:marinespecies.org:taxname:531666,NA,NA,Genus,NA,oyster_density
Simniinae,Ovulidae,urn:lsid:marinespecies.org:taxname:411689,NA,NA,Subfamily,NA,oyster_density
Cypraeinae,Cypraeidae,urn:lsid:marinespecies.org:taxname:411671,NA,NA,Subfamily,NA,oyster_density
Erosariinae,Cypraeidae,urn:lsid:marinespecies.org:taxname:411674,NA,NA,Subfamily,NA,oyster_density
Luriinae,Cypraeidae,urn:lsid:marinespecies.org:taxname:411679,NA,NA,Subfamily,NA,oyster_density
Sininae,Naticidae,urn:lsid:marinespecies.org:taxname:411696,NA,NA,Subfamily,NA,oyster_density
Lampasopsis,Bursidae,urn:lsid:marinespecies.org:taxname:463404,NA,NA,Genus,NA,oyster_density
Cassinae,Cassidae,urn:lsid:marinespecies.org:taxname:224971,NA,NA,Subfamily,NA,oyster_density
Cymatium,Cymatiidae,urn:lsid:marinespecies.org:taxname:138426,NA,NA,Genus,NA,oyster_density
Monoplex,Cymatiidae,urn:lsid:marinespecies.org:taxname:463521,NA,NA,Genus,NA,oyster_density
Calyptraea,Calyptraeidae,urn:lsid:marinespecies.org:taxname:137721,NA,NA,Genus,NA,oyster_density
Crepidula,Calyptraeidae,urn:lsid:marinespecies.org:taxname:137722,NA,NA,Genus,NA,oyster_density
Sigapatella,Calyptraeidae,urn:lsid:marinespecies.org:taxname:391489,NA,NA,Genus,NA,oyster_density
Eatoniella,Eatoniellidae,urn:lsid:marinespecies.org:taxname:196950,NA,NA,Genus,NA,oyster_density
Petaloconchus,Vermetidae,urn:lsid:marinespecies.org:taxname:138650,NA,NA,Genus,NA,oyster_density
Hydrobiinae,Hydrobiidae,urn:lsid:marinespecies.org:taxname:411711,NA,NA,Subfamily,NA,oyster_density
Assimineinae,Assimineidae,urn:lsid:marinespecies.org:taxname:390915,NA,NA,Subfamily,NA,oyster_density
Ekadantinae,Assimineidae,urn:lsid:marinespecies.org:taxname:411700,NA,NA,Subfamily,NA,oyster_density
Caecinae,Caecidae,urn:lsid:marinespecies.org:taxname:411702,NA,NA,Subfamily,NA,oyster_density
Circulus,Vitrinellidae,urn:lsid:marinespecies.org:taxname:137626,NA,NA,Genus,NA,oyster_density
Bithyniinae,Bithyniidae,urn:lsid:marinespecies.org:taxname:1662772,NA,NA,Subfamily,NA,oyster_density
Littoridininae,Cochliopidae,urn:lsid:marinespecies.org:taxname:1057168,NA,NA,Subfamily,NA,oyster_density
Potamopyrgus,Tateidae,urn:lsid:marinespecies.org:taxname:147122,NA,NA,Genus,NA,oyster_density
Testudinalia,Lottiidae,urn:lsid:marinespecies.org:taxname:234207,NA,NA,Genus,NA,oyster_density
Lottiinae,Lottiidae,urn:lsid:marinespecies.org:taxname:411585,NA,NA,Subfamily,NA,oyster_density
Tecturinae,Lottiidae,urn:lsid:marinespecies.org:taxname:411589,NA,NA,Subfamily,NA,oyster_density
Eoacmaea,Eoacmaeidae,urn:lsid:marinespecies.org:taxname:456551,NA,NA,Genus,NA,oyster_density
Rissoella,Rissoellidae,urn:lsid:marinespecies.org:taxname:138438,NA,NA,Genus,NA,oyster_density
Japonactaeon,Acteonidae,urn:lsid:marinespecies.org:taxname:415521,NA,NA,Genus,NA,oyster_density
Tritonina,Nudibranchia,urn:lsid:marinespecies.org:taxname:1829315,NA,NA,Suborder,NA,oyster_density
Doridoidei,Doridida,urn:lsid:marinespecies.org:taxname:246038,NA,NA,Infraorder,NA,oyster_density
Aglajidae,Philinoidea,urn:lsid:marinespecies.org:taxname:22981,NA,NA,Family,NA,oyster_density
Bullidae,Bulloidea,urn:lsid:marinespecies.org:taxname:9845,NA,NA,Family,NA,oyster_density
Tornatinidae,Bulloidea,urn:lsid:marinespecies.org:taxname:511913,NA,NA,Family,NA,oyster_density
Haminoeidae,Haminoeoidea,urn:lsid:marinespecies.org:taxname:23052,NA,NA,Family,NA,oyster_density
Cylichnidae,Cylichnoidea,urn:lsid:marinespecies.org:taxname:159,NA,NA,Family,NA,oyster_density
Plakobranchidae,Plakobranchoidea,urn:lsid:marinespecies.org:taxname:411960,NA,NA,Family,NA,oyster_density
Lymnaeidae,Lymnaeoidea,urn:lsid:marinespecies.org:taxname:160343,NA,NA,Family,NA,oyster_density
Pyramidellidae,Pyramidelloidea,urn:lsid:marinespecies.org:taxname:162,NA,NA,Family,NA,oyster_density
Aplysiidae,Aplysioidea,urn:lsid:marinespecies.org:taxname:172,NA,NA,Family,NA,oyster_density
Smaragdia,Neritininae,urn:lsid:marinespecies.org:taxname:138255,NA,NA,Genus,NA,oyster_density
Theodoxus,Neritininae,urn:lsid:marinespecies.org:taxname:153531,NA,NA,Genus,NA,oyster_density
Neritina,Neritininae,urn:lsid:marinespecies.org:taxname:206842,NA,NA,Genus,NA,oyster_density
Vitta,Neritininae,urn:lsid:marinespecies.org:taxname:1348334,NA,NA,Genus,NA,oyster_density
Diodora,Fissurellideinae,urn:lsid:marinespecies.org:taxname:138011,NA,NA,Genus,NA,oyster_density
Thalotia,Cantharidinae,urn:lsid:marinespecies.org:taxname:225463,NA,NA,Genus,NA,oyster_density
Komaitrochus,Cantharidinae,urn:lsid:marinespecies.org:taxname:512281,NA,NA,Genus,NA,oyster_density
Lirularia,Umboniinae,urn:lsid:marinespecies.org:taxname:413459,NA,NA,Genus,NA,oyster_density
Lunella,Turbininae,urn:lsid:marinespecies.org:taxname:203942,NA,NA,Genus,NA,oyster_density
Astralium,Turbininae,urn:lsid:marinespecies.org:taxname:204985,NA,NA,Genus,NA,oyster_density
Lithopoma,Turbininae,urn:lsid:marinespecies.org:taxname:240760,NA,NA,Genus,NA,oyster_density
Prisogaster,Prisogasterinae,urn:lsid:marinespecies.org:taxname:413384,NA,NA,Genus,NA,oyster_density
Eulithidium affine,Eulithidium,urn:lsid:marinespecies.org:taxname:419483,NA,NA,Species,NA,oyster_density
Eulithidium thalassicola,Eulithidium,urn:lsid:marinespecies.org:taxname:419487,NA,NA,Species,NA,oyster_density
Calliostoma,Calliostomatinae,urn:lsid:marinespecies.org:taxname:138584,NA,NA,Genus,NA,oyster_density
Arene cruentata,Arene,urn:lsid:marinespecies.org:taxname:419471,NA,NA,Species,NA,oyster_density
Cittarium pica,Cittarium,urn:lsid:marinespecies.org:taxname:419449,NA,NA,Species,NA,oyster_density
Agathistoma viridulum,Agathistoma,urn:lsid:marinespecies.org:taxname:1548543,NA,NA,Species,NA,oyster_density
Agathistoma fasciatum,Agathistoma,urn:lsid:marinespecies.org:taxname:1557229,NA,NA,Species,NA,oyster_density
Stramonita,Rapaninae,urn:lsid:marinespecies.org:taxname:138206,NA,NA,Genus,NA,oyster_density
Drupa,Rapaninae,urn:lsid:marinespecies.org:taxname:206126,NA,NA,Genus,NA,oyster_density
Vasula,Rapaninae,urn:lsid:marinespecies.org:taxname:714219,NA,NA,Genus,NA,oyster_density
Chicoreus,Muricinae,urn:lsid:marinespecies.org:taxname:205487,NA,NA,Genus,NA,oyster_density
Calotrophon,Muricinae,urn:lsid:marinespecies.org:taxname:391163,NA,NA,Genus,NA,oyster_density
Phyllonotus,Muricinae,urn:lsid:marinespecies.org:taxname:403805,NA,NA,Genus,NA,oyster_density
Nucella,Ocenebrinae,urn:lsid:marinespecies.org:taxname:138199,NA,NA,Genus,NA,oyster_density
Urosalpinx,Ocenebrinae,urn:lsid:marinespecies.org:taxname:138210,NA,NA,Genus,NA,oyster_density
Drupella,Ergalataxinae,urn:lsid:marinespecies.org:taxname:205771,NA,NA,Genus,NA,oyster_density
Claremontiella,Ergalataxinae,urn:lsid:marinespecies.org:taxname:1335130,NA,NA,Genus,NA,oyster_density
Coralliophila,Coralliophilinae,urn:lsid:marinespecies.org:taxname:137837,NA,NA,Genus,NA,oyster_density
Babelomurex,Coralliophilinae,urn:lsid:marinespecies.org:taxname:224949,NA,NA,Genus,NA,oyster_density
Murexsul,Aspellinae,urn:lsid:marinespecies.org:taxname:397215,NA,NA,Genus,NA,oyster_density
Conus anabathrum,Conus,urn:lsid:marinespecies.org:taxname:420200,NA,NA,Species,NA,oyster_density
Conus daucus,Conus,urn:lsid:marinespecies.org:taxname:420208,NA,NA,Species,NA,oyster_density
Conus floridanus,Conus,urn:lsid:marinespecies.org:taxname:429079,NA,NA,Species,NA,oyster_density
Pyrgocythara plicosa,Pyrgocythara,urn:lsid:marinespecies.org:taxname:160476,NA,NA,Species,NA,oyster_density
Pyrgospira tampaensis,Pyrgospira,urn:lsid:marinespecies.org:taxname:420266,NA,NA,Species,NA,oyster_density
Buccinum,Buccininae,urn:lsid:marinespecies.org:taxname:137701,NA,NA,Genus,NA,oyster_density
Nassarius,Nassariinae,urn:lsid:marinespecies.org:taxname:138235,NA,NA,Genus,NA,oyster_density
Phrontis,Nassariinae,urn:lsid:marinespecies.org:taxname:560406,NA,NA,Genus,NA,oyster_density
Antillophos,Photinae,urn:lsid:marinespecies.org:taxname:390690,NA,NA,Genus,NA,oyster_density
Anachis atkinsoni,Anachis,urn:lsid:marinespecies.org:taxname:511367,NA,NA,Species,NA,oyster_density
Columbella mercatoria,Columbella,urn:lsid:marinespecies.org:taxname:208599,NA,NA,Species,NA,oyster_density
Mitrella lincolnensis,Mitrella,urn:lsid:marinespecies.org:taxname:511520,NA,NA,Species,NA,oyster_density
Mitrella tuberosa,Mitrella,urn:lsid:marinespecies.org:taxname:511560,NA,NA,Species,NA,oyster_density
Mitrella aurantiaca,Mitrella,urn:lsid:marinespecies.org:taxname:760885,NA,NA,Species,NA,oyster_density
Astyris lunata,Astyris,urn:lsid:marinespecies.org:taxname:160102,NA,NA,Species,NA,oyster_density
Costoanachis avara,Costoanachis,urn:lsid:marinespecies.org:taxname:160222,NA,NA,Species,NA,oyster_density
Parvanachis obesa,Parvanachis,urn:lsid:marinespecies.org:taxname:160440,NA,NA,Species,NA,oyster_density
Alia unifasciata,Alia,urn:lsid:marinespecies.org:taxname:511707,NA,NA,Species,NA,oyster_density
Leucozonia,Peristerniinae,urn:lsid:marinespecies.org:taxname:206786,NA,NA,Genus,NA,oyster_density
Fasciolaria,Fasciolariinae,urn:lsid:marinespecies.org:taxname:138001,NA,NA,Genus,NA,oyster_density
Triplofusus,Fasciolariinae,urn:lsid:marinespecies.org:taxname:416101,NA,NA,Genus,NA,oyster_density
Pisania pusio,Pisania,urn:lsid:marinespecies.org:taxname:419978,NA,NA,Species,NA,oyster_density
Gemophos auritulus,Gemophos,urn:lsid:marinespecies.org:taxname:419968,NA,NA,Species,NA,oyster_density
Gemophos tinctus,Gemophos,urn:lsid:marinespecies.org:taxname:419969,NA,NA,Species,NA,oyster_density
Hesperisternia multangulus,Hesperisternia,urn:lsid:marinespecies.org:taxname:419972,NA,NA,Species,NA,oyster_density
Oliva,Olivinae,urn:lsid:marinespecies.org:taxname:205393,NA,NA,Genus,NA,oyster_density
Vasum muricatum,Vasum,urn:lsid:marinespecies.org:taxname:420079,NA,NA,Species,NA,oyster_density
Volutella muricata,Volutella,urn:lsid:marinespecies.org:taxname:1736039,NA,NA,Species,NA,oyster_density
Prunum,Pruninae,urn:lsid:marinespecies.org:taxname:160009,NA,NA,Genus,NA,oyster_density
Volutini,Volutinae,urn:lsid:marinespecies.org:taxname:382263,NA,NA,Tribe,NA,oyster_density
Granulina ovuliformis,Granulina,urn:lsid:marinespecies.org:taxname:532891,NA,NA,Species,NA,oyster_density
Vermicularia,Turritellinae,urn:lsid:marinespecies.org:taxname:160073,NA,NA,Genus,NA,oyster_density
Cerithium,Cerithiinae,urn:lsid:marinespecies.org:taxname:137760,NA,NA,Genus,NA,oyster_density
Bittium,Bittiinae,urn:lsid:marinespecies.org:taxname:137758,NA,NA,Genus,NA,oyster_density
Bittiolum,Bittiinae,urn:lsid:marinespecies.org:taxname:160170,NA,NA,Genus,NA,oyster_density
Cacozeliana,Bittiinae,urn:lsid:marinespecies.org:taxname:473012,NA,NA,Genus,NA,oyster_density
Alaba monile,Alaba,urn:lsid:marinespecies.org:taxname:715680,NA,NA,Species,NA,oyster_density
Alaba picta,Alaba,urn:lsid:marinespecies.org:taxname:1027144,NA,NA,Species,NA,oyster_density
Hinea,Planaxinae,urn:lsid:marinespecies.org:taxname:598427,NA,NA,Genus,NA,oyster_density
Finella dubia,Finella,urn:lsid:marinespecies.org:taxname:419538,NA,NA,Species,NA,oyster_density
Lampanella minima,Lampanella,urn:lsid:marinespecies.org:taxname:446438,NA,NA,Species,NA,oyster_density
Marshallora,Triphorinae,urn:lsid:marinespecies.org:taxname:138571,NA,NA,Genus,NA,oyster_density
Epitonium candeanum,Epitonium,urn:lsid:marinespecies.org:taxname:419806,NA,NA,Species,NA,oyster_density
Lacuna,Lacuninae,urn:lsid:marinespecies.org:taxname:138099,NA,NA,Genus,NA,oyster_density
Littorina,Littorininae,urn:lsid:marinespecies.org:taxname:138135,NA,NA,Genus,NA,oyster_density
Skeneopsis planorbis,Skeneopsis,urn:lsid:marinespecies.org:taxname:141539,NA,NA,Species,NA,oyster_density
Pusillina inconspicua,Pusillina,urn:lsid:marinespecies.org:taxname:141334,NA,NA,Species,NA,oyster_density
Pusillina sarsii,Pusillina,urn:lsid:marinespecies.org:taxname:141341,NA,NA,Species,NA,oyster_density
Rissoa membranacea,Rissoa,urn:lsid:marinespecies.org:taxname:141359,NA,NA,Species,NA,oyster_density
Rissoa parva,Rissoa,urn:lsid:marinespecies.org:taxname:141365,NA,NA,Species,NA,oyster_density
Zebina browniana,Zebina,urn:lsid:marinespecies.org:taxname:419645,NA,NA,Species,NA,oyster_density
Strombus pugilis,Strombus,urn:lsid:marinespecies.org:taxname:419695,NA,NA,Species,NA,oyster_density
Strombus gigas,Strombus,urn:lsid:marinespecies.org:taxname:458661,NA,NA,Species,NA,oyster_density
Aliger gigas,Aliger,urn:lsid:marinespecies.org:taxname:1429769,NA,NA,Species,NA,oyster_density
Conomurex fasciatus,Conomurex,urn:lsid:marinespecies.org:taxname:564729,NA,NA,Species,NA,oyster_density
Lobatus raninus,Lobatus,urn:lsid:marinespecies.org:taxname:531851,NA,NA,Species,NA,oyster_density
Lobatus costatus,Lobatus,urn:lsid:marinespecies.org:taxname:565363,NA,NA,Species,NA,oyster_density
Macrostrombus costatus,Macrostrombus,urn:lsid:marinespecies.org:taxname:1429775,NA,NA,Species,NA,oyster_density
Cyphoma,Simniinae,urn:lsid:marinespecies.org:taxname:394147,NA,NA,Genus,NA,oyster_density
Mauritiini,Cypraeinae,urn:lsid:marinespecies.org:taxname:411673,NA,NA,Tribe,NA,oyster_density
Naria,Erosariinae,urn:lsid:marinespecies.org:taxname:573905,NA,NA,Genus,NA,oyster_density
Luriini,Luriinae,urn:lsid:marinespecies.org:taxname:411680,NA,NA,Tribe,NA,oyster_density
Sinum,Sininae,urn:lsid:marinespecies.org:taxname:138244,NA,NA,Genus,NA,oyster_density
Lampasopsis thomae,Lampasopsis,urn:lsid:marinespecies.org:taxname:1472329,NA,NA,Species,NA,oyster_density
Cassis,Cassinae,urn:lsid:marinespecies.org:taxname:206265,NA,NA,Genus,NA,oyster_density
Monoplex parthenopeus,Monoplex,urn:lsid:marinespecies.org:taxname:476531,NA,NA,Species,NA,oyster_density
Monoplex martinianus,Monoplex,urn:lsid:marinespecies.org:taxname:1023582,NA,NA,Species,NA,oyster_density
Calyptraea centralis,Calyptraea,urn:lsid:marinespecies.org:taxname:419701,NA,NA,Species,NA,oyster_density
Crepidula fornicata,Crepidula,urn:lsid:marinespecies.org:taxname:138963,NA,NA,Species,NA,oyster_density
Crepidula convexa,Crepidula,urn:lsid:marinespecies.org:taxname:160228,NA,NA,Species,NA,oyster_density
Crepidula atrasolea,Crepidula,urn:lsid:marinespecies.org:taxname:419702,NA,NA,Species,NA,oyster_density
Crepidula depressa,Crepidula,urn:lsid:marinespecies.org:taxname:419703,NA,NA,Species,NA,oyster_density
Crepidula maculosa,Crepidula,urn:lsid:marinespecies.org:taxname:419704,NA,NA,Species,NA,oyster_density
Sigapatella novaezelandiae,Sigapatella,urn:lsid:marinespecies.org:taxname:597421,NA,NA,Species,NA,oyster_density
Eatoniella afronigra,Eatoniella,urn:lsid:marinespecies.org:taxname:766775,NA,NA,Species,NA,oyster_density
Petaloconchus varians,Petaloconchus,urn:lsid:marinespecies.org:taxname:419554,NA,NA,Species,NA,oyster_density
Hydrobia,Hydrobiinae,urn:lsid:marinespecies.org:taxname:138081,NA,NA,Genus,NA,oyster_density
Peringia,Hydrobiinae,urn:lsid:marinespecies.org:taxname:151626,NA,NA,Genus,NA,oyster_density
Ecrobia,Hydrobiinae,urn:lsid:marinespecies.org:taxname:238103,NA,NA,Genus,NA,oyster_density
Angustassiminea,Assimineinae,urn:lsid:marinespecies.org:taxname:765242,NA,NA,Genus,NA,oyster_density
Metassiminea,Ekadantinae,urn:lsid:marinespecies.org:taxname:818380,NA,NA,Genus,NA,oyster_density
Caecum,Caecinae,urn:lsid:marinespecies.org:taxname:137718,NA,NA,Genus,NA,oyster_density
Meioceras,Caecinae,urn:lsid:marinespecies.org:taxname:415618,NA,NA,Genus,NA,oyster_density
Circulus liratus,Circulus,urn:lsid:marinespecies.org:taxname:160203,NA,NA,Species,NA,oyster_density
Bithynia,Bithyniinae,urn:lsid:marinespecies.org:taxname:182698,NA,NA,Genus,NA,oyster_density
Littoridinops,Littoridininae,urn:lsid:marinespecies.org:taxname:159908,NA,NA,Genus,NA,oyster_density
Spurwinkia,Littoridininae,urn:lsid:marinespecies.org:taxname:160408,NA,NA,Genus,NA,oyster_density
Potamopyrgus antipodarum,Potamopyrgus,urn:lsid:marinespecies.org:taxname:147123,NA,NA,Species,NA,oyster_density
Testudinalia testudinalis,Testudinalia,urn:lsid:marinespecies.org:taxname:234208,NA,NA,Species,NA,oyster_density
Lottiini,Lottiinae,urn:lsid:marinespecies.org:taxname:411586,NA,NA,Tribe,NA,oyster_density
Tectura,Tecturinae,urn:lsid:marinespecies.org:taxname:138142,NA,NA,Genus,NA,oyster_density
Eoacmaea pustulata,Eoacmaea,urn:lsid:marinespecies.org:taxname:458655,NA,NA,Species,NA,oyster_density
Rissoella caribaea,Rissoella,urn:lsid:marinespecies.org:taxname:420414,NA,NA,Species,NA,oyster_density
Japonactaeon punctostriatus,Japonactaeon,urn:lsid:marinespecies.org:taxname:420514,NA,NA,Species,NA,oyster_density
Tritonioidea,Tritonina,urn:lsid:marinespecies.org:taxname:412595,NA,NA,Superfamily,NA,oyster_density
Onchidoridoidea,Doridoidei,urn:lsid:marinespecies.org:taxname:246152,NA,NA,Superfamily,NA,oyster_density
Chromodoridoidea,Doridoidei,urn:lsid:marinespecies.org:taxname:1370609,NA,NA,Superfamily,NA,oyster_density
Chelidonura,Aglajidae,urn:lsid:marinespecies.org:taxname:137638,NA,NA,Genus,NA,oyster_density
Bulla,Bullidae,urn:lsid:marinespecies.org:taxname:137716,NA,NA,Genus,NA,oyster_density
Acteocina,Tornatinidae,urn:lsid:marinespecies.org:taxname:137866,NA,NA,Genus,NA,oyster_density
Haminoea,Haminoeidae,urn:lsid:marinespecies.org:taxname:138054,NA,NA,Genus,NA,oyster_density
Haloa,Haminoeidae,urn:lsid:marinespecies.org:taxname:815853,NA,NA,Genus,NA,oyster_density
Cylichna,Cylichnidae,urn:lsid:marinespecies.org:taxname:137867,NA,NA,Genus,NA,oyster_density
Elysia,Plakobranchidae,urn:lsid:marinespecies.org:taxname:137928,NA,NA,Genus,NA,oyster_density
Amphipepleinae,Lymnaeidae,urn:lsid:marinespecies.org:taxname:724656,NA,NA,Subfamily,NA,oyster_density
Odostomia,Pyramidellidae,urn:lsid:marinespecies.org:taxname:138413,NA,NA,Genus,NA,oyster_density
Pyramidellinae,Pyramidellidae,urn:lsid:marinespecies.org:taxname:224522,NA,NA,Subfamily,NA,oyster_density
Turbonillinae,Pyramidellidae,urn:lsid:marinespecies.org:taxname:225671,NA,NA,Subfamily,NA,oyster_density
Boonea,Pyramidellidae,urn:lsid:marinespecies.org:taxname:397023,NA,NA,Genus,NA,oyster_density
Aplysia,Aplysiidae,urn:lsid:marinespecies.org:taxname:137654,NA,NA,Genus,NA,oyster_density
Smaragdia viridis,Smaragdia,urn:lsid:marinespecies.org:taxname:140570,NA,NA,Species,NA,oyster_density
Theodoxus fluviatilis,Theodoxus,urn:lsid:marinespecies.org:taxname:153558,NA,NA,Species,NA,oyster_density
Neritina virginea,Neritina,urn:lsid:marinespecies.org:taxname:419512,NA,NA,Species,NA,oyster_density
Vitta virginea,Vitta,urn:lsid:marinespecies.org:taxname:865834,NA,NA,Species,NA,oyster_density
Diodora sayi,Diodora,urn:lsid:marinespecies.org:taxname:419347,NA,NA,Species,NA,oyster_density
Komaitrochus pulcher,Komaitrochus,urn:lsid:marinespecies.org:taxname:871477,NA,NA,Species,NA,oyster_density
