protocol,table_id,level,column_name,data_type,missing_values
Oyster Experiment 2025,oyster-2025-mobile-fauna,2,reef_code,STRING,
Oyster Experiment 2025,oyster-2025-mobile-fauna,2,biobox_latitude,DOUBLE,
Oyster Experiment 2025,oyster-2025-mobile-fauna,2,biobox_longitude,DOUBLE,
Oyster Experiment 2025,oyster-2025-mobile-fauna,2,retrieval_date,DATE,
Oyster Experiment 2025,oyster-2025-mobile-fauna,2,scientific_name,STRING,
Oyster Experiment 2025,oyster-2025-mobile-fauna,2,count,INT,
Oyster Experiment 2025,oyster-2025-mobile-fauna,2,mobile_fauna_notes,STRING,
Oyster Experiment 2025,oyster-2025-mobile-fauna,2,input_filename,STRING,
Oyster Experiment 2025,oyster-2025-sessile-fauna,2,sample_event_id,STRING,
Oyster Experiment 2025,oyster-2025-sessile-fauna,2,partner_code,STRING,
Oyster Experiment 2025,oyster-2025-sessile-fauna,2,site_name,STRING,
Oyster Experiment 2025,oyster-2025-sessile-fauna,2,reef_code,STRING,
Oyster Experiment 2025,oyster-2025-sessile-fauna,2,biobox_latitude,DOUBLE,
Oyster Experiment 2025,oyster-2025-sessile-fauna,2,biobox_longitude,DOUBLE,
Oyster Experiment 2025,oyster-2025-sessile-fauna,2,retrieval_date,DATE,
Oyster Experiment 2025,oyster-2025-sessile-fauna,2,scientific_name,STRING,
Oyster Experiment 2025,oyster-2025-sessile-fauna,2,sessile_fauna_notes,STRING,
Oyster Experiment 2025,oyster-2025-sessile-fauna,2,input_filename,STRING,
